"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "Youden" "YoudenSensitivity" "YoudenSpecificity" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected"
"73" "LASSO" 11 3 0.68 0.636363636363636 1 0.416597790450531 0.856 0.856150793650794 0.855846774193548 0.711987599449751 0.855998783922171 0.491925068066298 0.858870967741935 0.854166666666667 0.855846774193548 0.856150793650794 0.205260301700699 2.19 0.0799999999999841 0 "x1;x2;x3;Noise1;Noise5;Noise6;Noise15;Noise17;Noise19;Noise20;Noise22"
"74" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 0.84744623655914 0.468909426809266 0.854838709677419 0.845238095238095 0.840725806451613 0.854166666666667 0.215714236490172 8.78 0.0500000000000114 0 "x1;x2"
"75" "STEP" 8 3 0.8 0.772727272727273 1 0.538305421923955 0.8555 0.85515873015873 0.855846774193548 0.71099163926313 0.855502752176139 0.507300346333703 0.85383064516129 0.860119047619048 0.855846774193548 0.85515873015873 0.205492900743737 2.13 0.0699999999999932 0.0100000000000193 "x1;x2;x3;Noise20;Noise19;Noise17;Noise1;Noise6"
"76" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7385 0.758928571428571 0.717741935483871 0.477138600864284 0.738335253456221 0.455678318306067 0.759072580645161 0.726190476190476 0.717741935483871 0.758928571428571 0.321179359026268 0.149999999999977 0.0500000000000114 0 "x1"
"77" "SVM-RFE" 6 3 0.88 0.863636363636364 1 0.657128740672771 0.852 0.854166666666667 0.849798387096774 0.703977726287609 0.85198252688172 0.439829625365624 0.884072580645161 0.833333333333333 0.849798387096774 0.854166666666667 0.205693748958364 21.94 0.039999999999992 0 "Noise17;Noise19;Noise20;x1;x2;x3"
"78" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 0.854495671930751 0.48026369824446 0.870481927710843 0.845617529880478 0.853413654618474 0.855577689243028 0.201350035858939 0.180000000000007 0.0500000000000114 0.0100000000000193 "x1;x2"
"79" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8545 0.855577689243028 0.853413654618474 0.708994534395134 0.854495671930751 0.48026369824446 0.870481927710843 0.845617529880478 0.853413654618474 0.855577689243028 0.201350035858939 0.120000000000005 0.0600000000000023 0.0199999999999818 "x1;x2"
"80" "FULL" 25 3 0.12 0 1 0 0.855 0.864541832669323 0.845381526104418 0.710089541831151 0.85496167938687 0.439020907287184 0.874497991967871 0.841633466135458 0.845381526104418 0.864541832669323 0.190876436850613 0 0.0999999999999943 0.0300000000000011 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"81" "GAMMA_BACK" 3 3 1 1 1 1 0.859 0.861553784860558 0.856425702811245 0.717996720075594 0.858989743835901 0.442689167247702 0.886546184738956 0.839641434262948 0.856425702811245 0.861553784860558 0.189599044339308 6.19 0.0600000000000023 0.0200000000000387 "x1;x2;x3"
"82" "GAMMA_BF" 3 3 1 1 1 1 0.859 0.861553784860558 0.856425702811245 0.717996720075594 0.858989743835901 0.442689167247702 0.886546184738956 0.839641434262948 0.856425702811245 0.861553784860558 0.189599044339308 0.289999999999992 0.0699999999999932 0.0200000000000102 "x1;x2;x3"
"83" "GAMMA_FORW" 3 3 1 1 1 1 0.859 0.861553784860558 0.856425702811245 0.717996720075594 0.858989743835901 0.442689167247702 0.886546184738956 0.839641434262948 0.856425702811245 0.861553784860558 0.189599044339308 0.310000000000002 0.0900000000000034 0.0200000000000102 "x1;x2;x3"
